"PAT_ZIP","SITE_ZIP","total_enc_cnt"
"02766","02215","8"
"02767","02109","2"
"02769","02184","3"
"02771","02138","2"
"02780","02481","4"
"02375","02184","92"
"02379","02467","22"
"02379","02109","2"
"02382","02467","3"
"02382","02109","2"
"02462","02481","65"
"02462","02467","1"
"02465","02481","267"
"02791","02481","3"
"02840","02138","1"
"02852","02109","2"
"02861","02109","7"
"02903","02109","1"
"02906","02138","3"
"02908","02215","9"
"02917","02169","3"
"02920","02184","8"
"02420","01803","104"
"02420","02472","26"
"02420","01742","2"
"02465","01803","5"
"02465","02144","10"
"03038","01803","2"
"03048","01824","6"
"03053","01803","6"
"03060","01915","18"
"03060","02138","4"
"02421","02467","1"
"02421","01915","3"
"02467","02467","338"
"02492","02144","1"
"02341","02109","6"
"02468","02467","18"
"01519","02481","3"
"01532","02215","1"
"01545","02215","3"
"01545","02481","7"
"01564","02481","2"
"01569","02467","3"
"01581","02109","10"
"01603","02481","20"
"01604","01742","1"
"01604","01915","1"
"01609","02138","1"
"01613","02481","1"
"01701","02109","26"
"01033","01824","20"
"01081","02481","1"
"01259","02481","2"
"01331","02144","3"
"01440","02144","3"
"01450","01824","54"
"01451","02138","11"
"01452","01742","3"
"01453","01915","1"
"01453","02109","6"
"01460","01742","8"
"01460","02109","2"
"01462","01824","6"
"01463","01742","8"
"01505","02467","32"
"01746","02109","4"
"01701","02215","2"
"01701","01960","3"
"01719","02138","3"
"01720","01803","55"
"01720","02138","8"
"01721","02138","13"
"01730","01742","11"
"01741","01803","20"
"01752","02138","21"
"01754","02155","6"
"01757","01960","1"
"01757","02169","1"
"01760","02026","8"
"01747","02215","2"
"01803","02138","15"
"01773","02138","2"
"01773","02481","23"
"01775","01742","20"
"01776","02184","3"
"01776","01803","10"
"01776","02144","5"
"01778","01824","2"
"01810","01960","37"
"01810","02144","16"
"01821","02109","6"
"01821","02155","26"
"01824","01803","231"
"01845","01960","83"
"01824","01960","5"
"01827","02155","5"
"01831","01915","1"
"01832","02138","2"
"01832","02169","1"
"01833","01960","66"
"01833","01803","12"
"01834","01824","3"
"01835","01803","5"
"01835","01824","2"
"01840","01824","3"
"01843","02138","4"
"01844","02215","10"
"01851","02155","12"
"01854","02467","3"
"01853","01824","64"
"01854","02169","1"
"01854","02155","5"
"01880","01803","63"
"01880","02481","5"
"01863","02109","2"
"01867","02144","10"
"01867","02109","8"
"01876","02109","10"
"01879","01803","34"
"01887","01915","17"
"01887","02144","8"
"01887","02215","20"
"01887","01742","1"
"01905","01824","1"
"01901","01803","3"
"01886","02481","53"
"01929","01824","1"
"01905","02109","1"
"01906","01803","17"
"01908","01915","5"
"01908","02481","5"
"01921","02109","12"
